file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,49,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,15
style.css,50,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,20
style.css,51,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,52
style.css,52,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,53,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,54,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,19
style.css,55,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,63
style.css,56,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,26
style.css,57,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,58,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,59,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,20
style.css,60,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,23
style.css,61,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,62,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,63,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,11
style.css,64,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,20
style.css,65,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,52
style.css,66,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,67,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,68,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,19
style.css,69,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,21
style.css,70,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,1,41
style.css,71,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,72,css,6bfa7ad0,manissen,2025-11-11,07:32:21,-08:00,2025-11-11T07:32:21-08:00,0,0
style.css,73,css,f0c23924,manissen,2025-10-07,22:47:51,-07:00,2025-10-07T22:47:51-07:00,0,14
style.css,74,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,12
style.css,75,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,22
style.css,76,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,14
style.css,77,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,8
style.css,78,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,13
style.css,79,css,f0c23924,manissen,2025-10-07,22:47:51,-07:00,2025-10-07T22:47:51-07:00,0,0
style.css,80,css,f0c23924,manissen,2025-10-07,22:47:51,-07:00,2025-10-07T22:47:51-07:00,0,0
style.css,81,css,c104f06b,manissen,2025-10-15,14:11:39,-07:00,2025-10-15T14:11:39-07:00,0,6
style.css,82,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,11
style.css,83,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,12
style.css,84,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,15
style.css,85,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,17
style.css,86,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,40
style.css,87,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,52
style.css,88,css,f0c23924,manissen,2025-10-07,22:47:51,-07:00,2025-10-07T22:47:51-07:00,0,0
style.css,89,css,7161d2ce,manissen,2025-10-05,14:57:16,-07:00,2025-10-05T14:57:16-07:00,0,0
style.css,90,css,c104f06b,manissen,2025-10-15,14:11:39,-07:00,2025-10-15T14:11:39-07:00,0,10
style.css,91,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,10
style.css,92,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,11
style.css,93,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,16
style.css,94,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,22
style.css,95,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,13
style.css,96,css,61269cbb,manissen,2025-10-07,17:09:19,-07:00,2025-10-07T17:09:19-07:00,0,0
style.css,97,css,61269cbb,manissen,2025-10-07,17:09:19,-07:00,2025-10-07T17:09:19-07:00,0,0
style.css,98,css,c104f06b,manissen,2025-10-15,14:11:39,-07:00,2025-10-15T14:11:39-07:00,0,3
style.css,99,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,12
style.css,100,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,28
